H1 CPF  1  HTS 2022  9 16 12  7591 ajisai           NONE
H2  8606101 1500    16908 2022 09 16  0  0  0 2022 09 21  0  0  0   240 1 1  0 0 0
H5  1.0100 
H9 
10 0 59838   6240.00000  0    7581889.300    1885329.382    -881556.956
10 0 59838   6480.00000  0    7330307.697    2812540.855     425151.816
10 0 59838   6720.00000  0    6766118.675    3622421.674    1711800.137
10 0 59838   6960.00000  0    5911271.460    4287707.390    2917704.926
10 0 59838   7200.00000  0    4800496.573    4786981.240    3986073.129
10 0 59838   7440.00000  0    3479824.755    5105243.804    4866694.884
10 0 59838   7680.00000  0    2004597.237    5234219.330    5518289.459
10 0 59838   7920.00000  0     437075.307    5172408.629    5910400.406
10 0 59838   8160.00000  0   -1156232.268    4924914.997    6024765.511
10 0 59838   8400.00000  0   -2707408.815    4503075.265    5856120.614
10 0 59838   8640.00000  0   -4150024.775    3923925.223    5412418.977
10 0 59838   8880.00000  0   -5421986.880    3209526.459    4714466.336
10 0 59838   9120.00000  0   -6468238.441    2386168.884    3794976.988
10 0 59838   9360.00000  0   -7243190.701    1483466.222    2697078.403
10 0 59838   9600.00000  0   -7712775.020     533369.312    1472323.794
10 0 59838   9840.00000  0   -7856016.210    -430881.243     178290.014
10 0 59838  10080.00000  0   -7666033.086   -1375836.772   -1124135.118
10 0 59838  10320.00000  0   -7150399.699   -2268920.916   -2373641.367
10 0 59838  10560.00000  0   -6330841.371   -3079471.436   -3511411.337
10 0 59838  10800.00000  0   -5242278.733   -3779706.375   -4483910.060
10 0 59838  11040.00000  0   -3931277.112   -4345583.957   -5245405.215
10 0 59838  11280.00000  0   -2453989.113   -4757536.781   -5760099.928
10 0 59838  11520.00000  0    -873696.107   -5001068.799   -6003787.646
10 0 59838  11760.00000  0     741938.072   -5067210.158   -5964966.402
10 0 59838  12000.00000  0    2323785.879   -4952825.766   -5645373.402
10 0 59838  12240.00000  0    3804234.050   -4660774.637   -5059923.112
10 0 59838  12480.00000  0    5120110.858   -4199908.511   -4236045.516
10 0 59838  12720.00000  0    6215439.671   -3584895.937   -3212439.495
10 0 59838  12960.00000  0    7043897.635   -2835864.815   -2037285.347
10 0 59838  13200.00000  0    7570862.358   -1977853.078    -765984.532
10 0 59838  13440.00000  0    7774933.652   -1040069.218     541472.456
10 0 59838  13680.00000  0    7648844.187     -54978.711    1823380.120
10 0 59838  13920.00000  0    7199703.898     942755.894    3019282.530
10 0 59838  14160.00000  0    6448567.780    1917439.618    4072865.843
10 0 59838  14400.00000  0    5429365.942    2833568.136    4934624.318
10 0 59838  14640.00000  0    4187271.333    3657065.028    5564169.417
10 0 59838  14880.00000  0    2776605.862    4356492.677    5932082.065
10 0 59838  15120.00000  0    1258394.822    4904201.217    6021236.190
10 0 59838  15360.00000  0    -302309.648    5277384.296    5827549.798
10 0 59838  15600.00000  0   -1839225.574    5459014.627    5360150.487
10 0 59838  15840.00000  0   -3287653.792    5438629.238    4640952.929
10 0 59838  16080.00000  0   -4587203.655    5212932.626    3703664.707
10 0 59838  16320.00000  0   -5684333.730    4786179.222    2592250.363
10 0 59838  16560.00000  0   -6534599.442    4170291.684    1358903.801
10 0 59838  16800.00000  0   -7104499.449    3384685.707      61611.873
10 0 59838  17040.00000  0   -7372828.762    2455785.638   -1238579.696
10 0 59838  17280.00000  0   -7331469.330    1416231.174   -2480463.586
10 0 59838  17520.00000  0   -6985578.195     303796.215   -3605580.979
10 0 59838  17760.00000  0   -6353173.721    -839939.276   -4560992.763
10 0 59838  18000.00000  0   -5464155.358   -1971113.245   -5301771.465
10 0 59838  18240.00000  0   -4358824.140   -3045237.910   -5793094.499
10 0 59838  18480.00000  0   -3085995.409   -4018924.687   -6011852.029
10 0 59838  18720.00000  0   -1700801.325   -4851620.256   -5947710.276
10 0 59838  18960.00000  0    -262279.980   -5507295.379   -5603594.032
10 0 59838  19200.00000  0    1169153.501   -5956025.865   -4995570.095
10 0 59838  19440.00000  0    2534257.469   -6175401.621   -4152131.757
10 0 59838  19680.00000  0    3777439.993   -6151696.454   -3112904.321
10 0 59838  19920.00000  0    4849063.193   -5880728.230   -1926814.198
10 0 59838  20160.00000  0    5707472.745   -5368341.848    -649788.728
10 0 59838  20400.00000  0    6320648.548   -4630465.073     657907.006
10 0 59838  20640.00000  0    6667397.818   -3692714.449    1934558.676
10 0 59838  20880.00000  0    6738036.808   -2589552.456    3119965.312
10 0 59838  21120.00000  0    6534536.190   -1363026.787    4158316.591
10 0 59838  21360.00000  0    6070140.960     -61150.951    5000832.801
10 0 59838  21600.00000  0    5368510.235    1263995.291    5608037.277
10 0 59838  21840.00000  0    4462446.933    2558359.522    5951562.763
10 0 59838  22080.00000  0    3392300.918    3768118.423    6015425.205
10 0 59838  22320.00000  0    2204130.940    4841906.394    5796725.822
10 0 59838  22560.00000  0     947708.688    5732992.041    5305763.112
10 0 59838  22800.00000  0    -325557.536    6401323.119    4565557.102
10 0 59838  23040.00000  0   -1564707.193    6815360.459    3610803.495
10 0 59838  23280.00000  0   -2721248.194    6953619.071    2486289.516
10 0 59838  23520.00000  0   -3751039.809    6805830.191    1244826.326
